Flow Hash,Source IP,Destination IP,Number of Packets,Number of Packets (Scaled to 1000000),Source Port,Destination Port,Average Packet Size,Minimum Packet Size,Maximum Packet Size,Total Bytes,IAT Min,IAT Max,IAT Mean,Label
-6939150521155124298,65.109.35.107,37.60.229.253,6,6e-06,0.7168688487067979,0.4677805752651255,0.04933333333333333,0.04933333333333333,0.04933333333333333,2.96e-06,100.68919216394424,177.88595302502316,124.31640223993195,n/a
1689528403145165325,109.205.211.110,37.60.229.253,2,2e-06,0.6663004501411459,0.8083009079118029,0.04,0.04,0.04,8e-07,0.00041051705678304035,0.00041051705678304035,0.00041051705678304035,n/a
3999575463936460371,37.60.229.253,109.205.211.110,88,8.8e-05,0.8083009079118029,0.6663004501411459,0.036,0.036,0.036,3.168e-05,0.4569287816683451,201.76798375050228,83.93956489102408,n/a
5277393125160910372,79.124.62.126,37.60.229.253,2,2e-06,0.6328984512092775,0.6544594491493095,0.04,0.04,0.04,8e-07,0.0004747907320658366,0.0004747907320658366,0.0004747907320658366,n/a
-1006400038061075356,37.60.229.253,79.124.62.126,17,1.7e-05,0.6544594491493095,0.6328984512092775,0.036,0.036,0.036,6.12e-06,0.6563285271326701,106.69416560729344,40.53082771909003,n/a
-3332501823717456959,116.118.9.79,37.60.229.253,22,2.2e-05,0.8069275959411002,0.0003356984817273213,0.1273939393939394,0.044,0.8226666666666667,2.8026666666666667e-05,0.004130156834920248,1.9604055722554525,1.0438100648648811,malicious
-6022547994736352405,37.60.229.253,116.118.9.79,11,1.1e-05,0.0003356984817273213,0.8069275959411002,0.14927272727272728,0.044,0.6946666666666667,1.642e-05,0.00413200855255127,0.09028608004252116,0.025350300109747686,malicious
-3787252159409805811,37.60.229.253,51.159.91.169,12,1.2e-05,0.0003356984817273213,0.026321812771801328,0.14383333333333334,0.044,0.6946666666666667,1.726e-05,0.0002859830856323242,0.03374536434809367,0.0064579308032989505,malicious
-3098600172800475,185.46.197.79,37.60.229.253,48,4.8e-05,0.6770122835126269,0.0003356984817273213,0.1241111111111111,0.044,0.8226666666666667,5.9573333333333334e-05,0.001184225082397461,1.7805286089579264,0.46901333067152234,malicious
-8963604541057091463,37.60.229.253,185.46.197.79,13,1.3e-05,0.0003356984817273213,0.6770122835126269,0.13615384615384615,0.044,0.6946666666666667,1.77e-05,0.0011881788571675618,0.038993624846140544,0.009153885107774002,malicious
